days_data,Algeria,Angola,Benin,Botswana,Burkina_Faso,Burundi,Cameroon,Cape_Verde,Central_African_Republic,Chad,Congo,Cote_dIvoire,Democratic_Republic_of_the_Congo,Djibouti,Egypt,Equatorial_Guinea,Eritrea,Eswatini,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea_Bissau,Kenya,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Senegal,Seychelles,Sierra_Leone,Somalia,South_Africa,South_Sudan,Sudan,Togo,Tunisia,Uganda,United_Republic_of_Tanzania,Zambia,Zimbabwe
1,3,3,5,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,3,3,6,4,8,3,3,8,3,3,4,3,3,5,5,3,7,3,5,3,3,4,3,3,3,3,9,5,9,3,3,3
2,3,4,5,4,3,3,4,3,4,3,3,4,3,3,15,4,6,4,5,3,3,6,4,9,3,3,8,3,3,4,3,12,6,7,3,7,8,5,4,4,6,3,7,4,3,15,7,9,3,3,3
3,5,4,5,4,20,3,4,3,4,5,3,5,14,12,49,4,6,4,5,3,3,7,5,9,4,3,10,3,4,9,5,14,7,7,3,10,8,7,6,4,6,3,13,4,3,15,13,14,3,3,5
4,12,7,6,4,20,3,10,3,4,5,4,5,14,12,55,6,6,4,6,3,3,11,5,15,7,3,10,17,4,18,5,28,18,8,3,10,12,11,19,6,6,3,17,4,3,18,16,14,6,12,7
5,17,7,6,4,26,3,10,4,4,5,4,6,14,13,59,6,12,6,7,6,3,16,8,18,7,3,11,19,5,18,5,36,28,8,3,10,22,11,21,6,7,3,24,4,5,18,16,14,12,14,7
6,20,7,6,6,33,3,14,5,5,5,4,9,23,15,60,9,12,9,9,6,3,21,8,18,7,3,11,19,8,18,5,42,37,8,4,10,30,17,26,7,7,5,24,4,5,23,18,30,12,16,7
7,20,8,6,6,40,3,27,5,5,7,4,14,26,19,80,9,15,9,9,6,4,24,16,33,7,3,18,23,8,28,5,48,44,8,8,20,40,17,27,7,8,5,51,4,6,24,20,33,12,28,8
8,25,8,6,6,64,3,27,5,6,7,4,17,26,26,93,11,18,9,11,6,4,27,16,33,15,3,18,24,8,36,6,81,54,10,8,20,44,19,31,7,10,5,62,4,7,25,24,33,12,29,8
9,26,8,8,7,64,3,27,5,6,7,4,25,45,31,93,12,22,9,11,7,4,53,30,33,16,3,18,28,9,39,6,94,63,10,8,74,51,36,36,7,10,7,85,4,7,28,29,44,13,35,8
10,37,10,13,13,75,5,56,5,6,7,4,25,45,34,110,13,22,9,11,7,4,68,52,35,25,3,19,37,12,41,6,102,86,10,11,74,65,40,36,7,11,7,116,4,7,30,39,44,13,35,9
11,48,14,13,13,99,5,72,6,6,7,19,73,54,41,126,13,29,9,12,7,4,132,52,35,25,3,21,44,13,45,6,110,96,10,11,98,81,41,47,7,11,7,150,4,7,34,54,45,13,36,9
12,58,16,16,13,114,5,72,6,8,8,19,80,58,41,166,14,29,9,12,7,4,137,111,38,31,6,24,46,16,47,6,128,115,10,11,120,97,50,56,7,13,8,205,4,10,34,60,48,14,39,9
13,60,17,16,13,146,5,88,6,8,9,19,96,58,51,196,14,31,9,16,7,4,141,121,39,31,6,24,54,16,56,6,143,134,10,13,184,97,54,67,7,15,8,240,4,12,36,75,48,19,39,9
14,72,19,22,13,146,5,88,6,8,9,22,101,81,59,210,15,31,9,16,16,4,152,128,39,38,7,25,59,16,59,6,154,170,10,13,253,131,60,79,7,26,12,274,4,12,39,89,52,19,39,10
15,90,19,26,13,180,5,99,7,9,9,22,140,98,90,256,15,33,9,16,18,4,152,144,40,42,10,25,65,16,59,7,169,225,17,14,278,131,70,86,8,30,21,402,5,14,40,114,52,20,39,11
16,102,19,26,13,180,6,99,7,9,10,41,165,98,121,285,15,33,10,23,18,4,152,164,43,50,13,26,71,17,87,7,186,275,17,14,342,151,70,99,10,35,21,557,5,14,41,173,52,21,39,11
17,139,19,26,15,222,6,142,7,9,11,41,168,123,135,294,16,34,10,25,21,4,195,194,46,59,14,35,72,17,105,7,196,345,20,16,410,174,75,105,10,43,25,709,6,14,44,173,53,21,39,11
18,201,19,30,15,246,6,193,7,9,11,45,168,123,140,327,16,34,12,29,21,4,204,212,50,81,14,48,77,17,116,7,227,358,20,16,438,190,82,119,10,50,25,927,6,15,58,227,53,21,39,14
19,230,19,35,15,261,6,233,7,10,11,45,190,134,150,366,16,34,12,29,21,9,205,250,50,110,31,49,85,17,123,7,244,479,21,16,491,210,82,130,10,61,60,1170,34,19,65,227,53,22,39,14
20,264,19,35,20,288,6,271,7,11,15,45,194,154,187,442,16,34,12,35,21,9,214,250,50,122,31,49,93,18,144,7,268,556,27,16,529,232,89,142,10,64,80,1187,34,19,70,278,53,24,40,17
21,302,19,35,20,288,11,509,7,11,23,45,218,154,214,456,16,35,14,38,30,9,214,319,50,126,37,49,93,23,148,7,273,617,28,16,548,238,102,162,10,82,80,1280,35,29,73,312,54,24,40,17
22,367,19,35,20,302,11,555,8,11,23,60,245,161,298,495,18,35,14,43,33,9,287,363,50,142,48,49,102,33,171,7,314,654,29,16,570,254,104,175,10,82,116,1326,45,32,76,362,54,25,43,23
23,409,19,35,22,345,12,650,10,11,27,60,261,180,363,536,18,35,15,44,44,9,287,404,50,158,50,51,102,33,190,7,318,708,31,16,584,276,105,190,10,93,135,1353,45,32,76,394,55,25,45,24
24,454,24,35,22,364,15,658,10,11,27,60,323,183,435,576,18,35,15,52,46,9,313,438,52,172,59,51,106,33,216,7,319,708,34,16,609,288,105,195,10,99,164,1380,46,32,76,455,55,32,45,24
25,511,24,37,22,384,15,685,11,11,33,60,349,215,591,609,18,35,16,55,49,9,378,477,52,179,59,59,106,34,224,7,324,919,35,16,627,305,110,207,10,104,237,1462,46,32,77,455,55,32,48,25
26,584,24,37,22,414,15,730,55,11,33,70,384,223,732,656,21,39,16,56,57,9,378,477,52,184,59,60,108,36,246,7,324,1021,39,16,639,318,113,219,10,116,286,1505,52,66,77,495,55,32,48,25
27,716,24,37,22,443,15,730,55,12,33,70,444,234,732,710,21,39,19,65,57,10,408,579,53,189,73,61,110,36,258,7,324,1120,39,16,648,323,118,222,10,124,286,1585,74,66,81,553,55,46,52,25
