days_data,Algeria,Angola,Benin,Botswana,Burkina_Faso,Burundi,Cameroon,Cape_Verde,Central_African_Republic,Chad,Congo,Cote_dIvoire,Democratic_Republic_of_the_Congo,Djibouti,Egypt,Equatorial_Guinea,Eritrea,Eswatini,Ethiopia,France,Gabon,Gambia,Ghana,Guinea,Guinea_Bissau,Kenya,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Senegal,Seychelles,Sierra_Leone,Somalia,South_Africa,South_Sudan,Sudan,Togo,Tunisia,Uganda,United_Republic_of_Tanzania,Zambia,Zimbabwe
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,0,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6,0,2,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7,0,2,0,1,1,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,2,2,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1
8,1,2,0,1,3,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,1,1,2,0,0,0,0,1,0,1,3,1,2,2,0,0,3,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1
9,2,2,0,1,3,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,1,1,2,0,0,0,0,1,0,1,3,1,2,2,0,0,5,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1
10,2,2,0,1,3,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,1,1,3,0,0,0,0,1,0,2,3,1,2,3,0,0,5,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1
