dateRep,total_new_cases,total_new_deaths,total_cumulative_cases,total_cumulative_deaths
2020-01-06,0,0,0,0
2020-01-13,0,0,0,0
2020-01-20,0,0,0,0
2020-01-27,0,0,0,0
2020-02-03,0,0,0,0
2020-02-10,0,0,0,0
2020-02-17,1,0,1,0
2020-02-24,0,0,1,0
2020-03-02,5,0,6,0
2020-03-09,69,1,75,1
2020-03-16,248,7,323,8
2020-03-23,1066,36,1389,44
2020-03-30,3240,99,4629,143
2020-04-06,4546,291,9175,434
2020-04-13,5343,355,14518,789
2020-04-20,7781,331,22299,1120
2020-04-27,9435,295,31734,1415
2020-05-04,12674,383,44408,1798
2020-05-11,18758,486,63166,2284
2020-05-18,21398,467,84564,2751
2020-05-25,26953,578,111517,3329
2020-06-01,34867,878,146384,4207
2020-06-08,42536,949,188920,5156
2020-06-15,53345,1352,242265,6508
2020-06-22,62832,1585,305097,8093
2020-06-29,76440,1546,381537,9639
2020-07-06,94984,1712,476521,11351
2020-07-13,117475,1871,593996,13222
2020-07-20,126037,1904,720033,15126
2020-07-27,125676,2616,845709,17742
2020-08-03,110095,2506,955804,20248
2020-08-10,90974,2989,1046778,23237
2020-08-17,70745,2373,1117523,25610
2020-08-24,68589,2124,1186112,27734
2020-08-31,57988,1828,1244100,29562
2020-09-07,53927,1697,1298027,31259
2020-09-14,53872,1338,1351899,32597
2020-09-21,54397,1330,1406296,33927
2020-09-28,52585,1209,1458881,35136
2020-10-05,55859,1348,1514740,36484
2020-10-12,62380,1568,1577120,38052
2020-10-19,67541,1666,1644661,39718
2020-10-26,72019,1518,1716680,41236
2020-11-02,77808,1942,1794488,43178
2020-11-09,86780,2153,1881268,45331
2020-11-16,92703,2005,1973971,47336
2020-11-23,90404,2294,2064375,49630
2020-11-30,97422,2071,2161797,51701
2020-12-07,98982,2133,2260779,53834
2020-12-14,117816,2483,2378595,56317
2020-12-21,130910,3010,2509505,59327
2020-12-28,162371,3841,2671876,63168
2021-01-04,158223,4078,2830099,67246
